pdb_id,sample,best_plddt,random_plddt,delta_plddt_to_best_model
3c9u,pMPNN,46.49331360946746,31.92686390532544,-24.566449704142016
3cu9,pMPNN,66.3343949044586,43.15952229299363,-33.17487261146498
3dby,pMPNN,96.5395041322314,94.70132231404958,-1.8381818181818232
3ddt,pMPNN,93.1728888888889,69.54577777777777,-33.627111111111134
3e9d,pMPNN,52.72876,41.64052,-11.088239999999999
3ede,pMPNN,41.18758293838862,32.79578199052133,-8.391800947867296
3ezq,pMPNN,88.8412389380531,84.7395575221239,-4.1016814159291926
3f1l,pMPNN,82.84551020408163,51.51742857142857,-41.32808163265307
3g0m,pMPNN,93.75311594202898,90.86130434782608,-2.891811594202906
3gad,pMPNN,85.39486956521738,75.24104347826086,-10.153826086956514
3gf3,pMPNN,53.50625,39.29266891891892,-24.21358108108108
3h0u,pMPNN,47.45775362318841,45.891630434782606,-1.566123188405804
3h9v,pMPNN,73.4871153846154,72.98326923076924,-0.5038461538461547
3imk,pMPNN,84.03687898089171,81.42273885350318,-2.614140127388538
3iu1,pMPNN,60.01059701492538,33.01004975124378,-37.000547263681604
3k69,pMPNN,84.91154838709679,80.62625806451612,-4.285290322580664
3kmu,pMPNN,47.972397003745314,36.07378277153558,-11.89861423220973
3las,pMPNN,76.27590361445783,45.586746987951805,-40.689156626506026
3lbe,pMPNN,93.43540983606556,92.84327868852456,-0.5921311475409965
3lf6,pMPNN,68.35071428571429,66.61922077922078,-1.731493506493507
3lnn,pMPNN,64.09016326530612,52.44563265306122,-11.6445306122449
3m8o,pMPNN,86.32854368932038,70.51970873786408,-25.808834951456305
3n1f,pMPNN,90.33272727272724,87.36303030303031,-2.969696969696926
3n55,pMPNN,77.68738738738737,49.18891891891892,-38.49846846846845
3nje,pMPNN,80.25789156626506,77.93126506024096,-2.3266265060240983
3nuh,pMPNN,89.18292397660818,87.99736842105264,-1.1855555555555384
3p8k,pMPNN,73.39161538461538,63.9996923076923,-9.391923076923078
3pdu,pMPNN,83.41967479674797,64.5220325203252,-28.897642276422772
3pl2,pMPNN,41.31590322580645,38.08616129032258,-3.2297419354838723
3pna,pMPNN,80.85713178294573,80.77488372093022,-0.08224806201550905
3pve,pMPNN,72.82540983606557,30.7992349726776,-52.02617486338798
3q46,pMPNN,59.1720224719101,36.96724719101124,-32.20477528089886
3q90,pMPNN,84.5283969465649,83.17656488549618,-1.3518320610687198
3r6s,pMPNN,50.35903448275862,43.11531034482759,-7.243724137931025
3rf1,pMPNN,75.93809859154929,62.102323943661965,-23.835774647887327
3rlf,pMPNN,67.72125,51.0897794117647,-26.631470588235295
3rq7,pMPNN,89.25781609195403,88.83229885057469,-0.4255172413793389
3sao,pMPNN,90.68728476821192,85.9846357615894,-4.702649006622522
3sfx,pMPNN,78.04778787878787,75.4680606060606,-2.5797272727272684
3sq7,pMPNN,35.99959349593496,31.7989837398374,-4.20060975609756
3toy,pMPNN,85.09519083969465,74.72580152671756,-10.369389312977091
3tzq,pMPNN,68.03701149425288,66.49988505747126,-1.5371264367816195
3us3,pMPNN,85.63365079365079,83.29087301587302,-2.342777777777769
3vas,pMPNN,60.92895652173914,39.80376811594203,-31.12518840579711
3vfi,pMPNN,86.54721153846154,80.40711538461538,-6.140096153846159
3vnq,pMPNN,47.07497064579257,39.02021526418787,-8.0547553816047
3vzx,pMPNN,83.35092511013215,80.84303964757707,-2.5078854625550804
4ac9,pMPNN,89.12417721518986,59.23835443037977,-39.88582278481009
4b8r,pMPNN,48.29147751605996,40.376231263383296,-7.915246252676667
4c1h,pMPNN,74.14294117647059,57.30420814479638,-26.83873303167421
4c5k,pMPNN,80.60905454545454,54.652545454545454,-35.95650909090909
