pdb_id,model,plddt,delta_to_best
1ryp,3,37.58834024896266,-1.1327800829875443
1ryp,1,38.7211203319502,0.0
1zbs,5,46.93443181818181,0.0
1zbs,4,36.863693181818185,-10.070738636363622
1zbs,3,36.05318181818182,-10.881249999999987
1zbs,2,44.316818181818185,-2.6176136363636218
1zbs,1,36.6577840909091,-10.27664772727271
1q0r,2,36.68632996632997,0.0
1q0r,4,35.78003367003367,-0.9062962962963041
1q0r,1,29.79518518518519,-6.8911447811447815
1q0r,3,30.50279461279461,-6.183535353535362
1q0r,5,29.23508417508417,-7.4512457912458
4i7g,2,40.20271999999999,-3.75304000000002
4i7g,1,33.7892,-10.166560000000011
4i7g,4,34.6008,-9.354960000000013
4i7g,5,43.95576000000001,0.0
4i7g,3,37.57280000000001,-6.382960000000004
3sfx,5,38.72584848484848,-5.942363636363652
3sfx,1,34.37915151515151,-10.289060606060616
3sfx,4,42.08836363636364,-2.5798484848484904
3sfx,2,44.66821212121213,0.0
3sfx,3,33.49248484848485,-11.17572727272728
4xkb,5,50.203625,-4.211125000000003
4xkb,4,50.057500000000005,-4.3572500000000005
4xkb,1,50.788375,-3.626375000000003
4xkb,3,54.414750000000005,0.0
4xkb,2,53.22549999999999,-1.1892500000000155
2odk,3,88.47274509803921,0.0
2odk,2,58.13588235294117,-30.336862745098045
2odk,4,64.66803921568626,-23.80470588235295
2odk,1,60.98137254901961,-27.4913725490196
2odk,5,78.46156862745099,-10.011176470588225
5n2p,1,39.59746887966804,-18.112323651452293
5n2p,5,41.26526970954357,-16.44452282157677
5n2p,2,47.87775933609959,-9.832033195020749
5n2p,3,38.25800829875519,-19.451784232365142
5n2p,4,57.709792531120335,0.0
2f3l,1,29.7819696969697,-3.5858333333333228
2f3l,5,29.31371212121212,-4.0540909090909025
2f3l,4,30.390227272727277,-2.977575757575746
2f3l,3,28.519090909090917,-4.848712121212106
2f3l,2,33.36780303030302,0.0
2j67,5,34.64375838926175,-12.229194630872485
2j67,4,46.87295302013423,0.0
2j67,3,33.24946308724832,-13.62348993288591
2j67,1,36.64986577181209,-10.223087248322145
2j67,2,39.97885906040269,-6.894093959731542
1xeq,5,55.06134831460674,-0.5782022471910011
1xeq,1,53.96000000000001,-1.6795505617977327
1xeq,3,50.74471910112359,-4.894831460674148
1xeq,4,55.454382022471904,-0.18516853932583643
1xeq,2,55.63955056179774,0.0
2hjs,4,46.21836842105263,-5.7543157894736865
2hjs,5,47.333000000000006,-4.639684210526312
2hjs,3,44.88794736842106,-7.084736842105258
2hjs,2,51.97268421052632,0.0
2hjs,1,42.85331578947369,-9.119368421052627
2nrh,5,37.623456790123456,-7.138395061728382
2nrh,1,36.8716049382716,-7.890246913580235
2nrh,2,44.76185185185184,0.0
2nrh,3,41.562345679012346,-3.1995061728394916
2nrh,4,41.888765432098765,-2.873086419753072
2x9v,5,33.862958801498124,-2.5640074906367047
2x9v,1,35.26752808988764,-1.1594382022471876
