,Unnamed: 0,con,dgram_cce,exp_res,fape,hard,helix,i_ptm,loss,models,pae,plddt,ptm,recycles,seq_ent,seqid,soft,temp,rmsd_io,tm_i,tm_o,tm_io,composite,names,data
HBI_b_27,63,1.6653437614440918,1.678487777709961,0.0084140580147504,0.3398801982402801,1.0,7.431665897369385,0.0,1.678487777709961,[0],3.856280505657196,0.9111412689089776,0.7861230969429016,3,295.71051025390625,1.0,0.0,1.0,0.9842321872711182,1.0,0.9456,0.9456,0.6773041518011542,HBI_b_27,WSB
HBI_b_28,64,1.747834324836731,1.6417902708053589,0.0093269040808081,0.3086619675159454,1.0,7.343799114227295,0.0,1.6417902708053589,[0],3.9467331171035767,0.9068805128335952,0.776648998260498,3,295.71051025390625,1.0,0.0,1.0,0.8558720350265503,1.0,0.9555,0.9555,0.6729852528725576,HBI_b_28,WSB
HBI_b_29,65,1.6151092052459717,1.6731288433074951,0.0069793411530554,0.2982915937900543,1.0,7.564366817474365,0.0,1.6731288433074951,[0],3.473220311105252,0.9268771708011628,0.8019901514053345,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.932045042514801,1.0,0.9504,0.9504,0.706476382962742,HBI_b_29,WSB
HBI_b_31,66,1.5980383157730105,1.7054306268692017,0.0073142396286129,0.3322660624980926,1.0,7.752684116363525,0.0,1.7054306268692017,[0],3.790550015866757,0.913705751299858,0.7954061627388,3,295.71051025390625,1.0,0.0,1.0,1.0063161849975586,1.0,0.9465,0.9465,0.6878851410888046,HBI_b_31,WSB
HBI_b_32,67,1.736750841140747,1.5891480445861816,0.0134630724787712,0.297366201877594,1.0,7.679009914398193,0.0,1.5891480445861816,[0],3.880481794476509,0.9162309169769288,0.7898215651512146,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.8361968398094177,1.0,0.9584,0.9584,0.6935547251121658,HBI_b_32,WSB
HBI_b_33,68,1.7210474014282229,1.7161592245101929,0.0094538629055023,0.3524539172649383,1.0,7.300333499908447,0.0,1.7161592245101929,[0],4.050798982381821,0.9006477743387222,0.7753395438194275,3,295.71051025390625,1.0,0.0,1.0,1.079638957977295,1.0,0.9405,0.9405,0.6567585183451504,HBI_b_33,WSB
HBI_b_34,69,1.875841498374939,1.755012035369873,0.013871039263904,0.3505337536334991,1.0,7.121889114379883,0.0,1.755012035369873,[0],4.438578084111214,0.8894657641649246,0.7452889084815979,3,295.71051025390625,1.0,0.0,1.0,1.2562154531478882,1.0,0.9276,0.9276,0.6149143591863762,HBI_b_34,WSB
HBI_b_35,70,2.075704336166382,1.7296737432479858,0.015715604647994,0.3035025894641876,1.0,6.776206016540527,0.0,1.7296737432479858,[0],5.255198240280151,0.8508149981498718,0.6971545219421387,3,295.71051025390625,1.0,0.0,1.0,0.9977225065231324,1.0,0.9437,0.9437,0.5597552051347895,HBI_b_35,WSB
HBI_b_37,71,1.679597020149231,1.5970710515975952,0.0090136611834168,0.3141760230064392,1.0,7.508073806762695,0.0,1.5970710515975952,[0],3.5099784061312675,0.9231409206986428,0.792714536190033,3,295.71051025390625,1.0,0.0,1.0,0.8253862857818604,1.0,0.9598,0.9598,0.70236938027272,HBI_b_37,WSB
HBI_b_38,72,1.862756967544556,1.713113784790039,0.0134810740128159,0.3480225205421448,1.0,7.399944305419922,0.0,1.713113784790039,[0],4.377090245485306,0.8940485492348671,0.7488940954208374,3,295.71051025390625,0.9908256880733946,0.0,1.0,1.1975131034851074,1.0,0.9311,0.9311,0.6234158444211445,HBI_b_38,WSB
HBI_b_39,73,1.7750401496887207,1.74943208694458,0.0115607306361198,0.355817973613739,1.0,7.300370216369629,0.0,1.74943208694458,[0],3.825137935578823,0.9117122441530228,0.7755248546600342,3,295.71051025390625,1.0,0.0,1.0,1.0802959203720093,1.0,0.9355,0.9355,0.6614504255248603,HBI_b_39,WSB
HBI_b_40,74,1.697048306465149,1.5741736888885498,0.0119804125279188,0.3015992641448974,1.0,7.467676162719727,0.0,1.5741736888885498,[0],3.3939728811383247,0.9275651648640632,0.7863976359367371,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.8750131726264954,1.0,0.9601,0.9601,0.700330594218597,HBI_b_40,WSB
HBI_b_41,75,1.7555745840072632,1.8070846796035769,0.016844380646944,0.3754523992538452,1.0,7.166863441467285,0.0,1.8070846796035769,[0],4.102299302816391,0.8972734808921814,0.7792105674743652,3,295.71051025390625,1.0,0.0,1.0,1.176061749458313,1.0,0.929,0.929,0.6495242647716714,HBI_b_41,WSB
HBI_b_43,76,1.6554149389266968,1.6150717735290527,0.0085447132587432,0.3122184872627258,1.0,7.386837005615234,0.0,1.6150717735290527,[0],3.69474171847105,0.9151054471731186,0.8012874722480774,3,295.71051025390625,1.0,0.0,1.0,0.8448851704597473,1.0,0.9585,0.9585,0.7028321355856543,HBI_b_43,WSB
HBI_b_44,77,1.6121771335601809,1.792165756225586,0.0074616400524973,0.3272927105426788,1.0,7.690000057220459,0.0,1.792165756225586,[0],3.1579797118902206,0.939604926854372,0.8023782968521118,3,295.71051025390625,0.9908256880733946,0.0,1.0,1.1317434310913086,1.0,0.9392,0.9392,0.7080803499871297,HBI_b_44,WSB
